,Unnamed: 0,Keyword,Count_news,Count_blog,Count_kin,Count_total
361,361,전체,1.0,0.0,0.0,1.0
362,362,5317,3.0,0.0,0.0,3.0
363,363,5317억원,2.0,0.0,0.0,2.0
364,364,전년대비,1.0,0.0,0.0,1.0
365,365,대비,1.0,7.0,2.0,10.0
366,366,제공,6.0,2.0,2.0,10.0
367,367,연,2.0,1.0,1.0,4.0
368,368,기획,16.0,3.0,0.0,19.0
369,369,2020년도,15.0,0.0,0.0,15.0
370,370,년도,15.0,0.0,1.0,16.0
371,371,9,11.0,3.0,0.0,14.0
372,372,9일,11.0,0.0,0.0,11.0
373,373,발달장애,12.0,0.0,0.0,12.0
374,374,신규,10.0,4.0,0.0,14.0
375,375,사회적,7.0,9.0,1.0,17.0
376,376,100억원,1.0,0.0,0.0,1.0
377,377,기억,2.0,0.0,0.0,2.0
378,378,음악,2.0,0.0,0.0,2.0
379,379,미술,2.0,0.0,0.0,2.0
380,380,소재,1.0,4.0,1.0,6.0
381,381,전시회,1.0,0.0,0.0,1.0
382,382,반장식가,3.0,0.0,0.0,3.0
383,383,식가,3.0,0.0,0.0,3.0
384,384,여권발급,2.0,0.0,0.0,2.0
385,385,이날,6.0,0.0,0.0,6.0
386,386,인적,1.0,0.0,7.0,8.0
387,387,인적자원,1.0,0.0,0.0,1.0
388,388,자원,1.0,1.0,1.0,3.0
389,389,사업고도화,1.0,0.0,0.0,1.0
390,390,불리,1.0,0.0,0.0,1.0
391,391,신종,3.0,0.0,0.0,3.0
392,392,코로나바이러스,3.0,0.0,0.0,3.0
393,393,바,3.0,41.0,22.0,66.0
394,394,이러스,3.0,0.0,0.0,3.0
395,395,감염증,3.0,0.0,0.0,3.0
396,396,감염증이하,1.0,0.0,0.0,1.0
397,397,이하,1.0,1.0,1.0,3.0
398,398,가치,3.0,11.0,6.0,20.0
399,399,시,1.0,5.0,4.0,10.0
400,400,5317억,1.0,0.0,0.0,1.0
401,401,100억,2.0,0.0,0.0,2.0
402,402,원대,2.0,0.0,0.0,2.0
403,403,기록함,2.0,0.0,0.0,2.0
404,404,이달,2.0,0.0,0.0,2.0
405,405,3,8.0,21.0,9.0,38.0
406,406,3백17억,2.0,0.0,0.0,2.0
